PRACTICE_CODE,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Parks only - Index of Multiple Deprivation rank (country specific),Practice_code_weighted_tot_of_Parks only - Index of Multiple Deprivation decile (country specific),Practice_code_weighted_tot_of_Parks only - Average distance to nearest Park or Public Garden (m),Practice_code_weighted_tot_of_Parks only - Average size of nearest Park or Public Garden (m2),"Practice_code_weighted_tot_of_Parks only - Average number of Parks or Public Gardens within 1,000 m radius","Practice_code_weighted_tot_of_Parks only - Average combined size of Parks or Public Gardens within 1,000 m radius (m2)",Practice_code_weighted_tot_of_Parks only - Number of postcodes within built up area,Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 300m of a Park or Public Garden (percentage),Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 300m of a Park or Public Garden,Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 900m of a Park or Public Garden (percentage),Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 900m of a Park or Public Garden,Practice_code_weighted_tot_of_Parks and Playing Fields - Index of Multiple Deprivation rank (country specific),Practice_code_weighted_tot_of_Parks and Playing Fields - Index of Multiple Deprivation decile (country specific),Practice_code_weighted_tot_of_Parks and Playing Fields - Average distance to nearest Park Public Garden or Playing Field (m),Practice_code_weighted_tot_of_Parks and Playing Fields - Average size of nearest Park Public Garden or Playing Field (m2),"Practice_code_weighted_tot_of_Parks and Playing Fields - Average number of  Parks Public Gardens or Playing Fields within 1,000 m radius","Practice_code_weighted_tot_of_Parks and Playing Fields - Average combined size of  Parks Public Gardens or Playing Fields within 1,000 m radius (m2)",Practice_code_weighted_tot_of_Parks and Playing Fields - Number of postcodes within built up area,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 300m of a Park Public Garden or Playing Field,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 300m of a Park Public Garden or Playing Field (percentage),Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 900m of a Park Public Garden or Playing Field,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 900m of a Park Public Garden or Playing Field (percentage)
C84011,9091,13380,5,488,172262,2,299011,35,0.28,9,0.93,32,13380,5,346,104287,6,416897,35,17,0.53,34,0.99
C84012,15143,9757,3,625,485531,2,624165,33,0.25,8,0.76,26,9757,3,313,191239,5,661132,33,19,0.58,33,0.98
C84013,7319,15233,5,1841,63357,1,76415,46,0.12,7,0.40,18,15233,5,469,26784,3,104197,46,21,0.45,40,0.88
C84014,9426,14521,5,837,531706,1,617258,36,0.16,6,0.57,19,14521,5,345,146640,4,490836,36,18,0.52,35,0.97
C84016,14005,12935,4,360,26038,4,116463,38,0.49,21,0.94,36,12935,4,300,23641,6,156077,38,25,0.64,36,0.95
C84017,23650,24371,8,2570,458550,0.95,459467,41,0.11,4,0.31,12,24371,8,532,22818,2,58092,41,15,0.33,33,0.76
C84018,8320,8235,3,603,151574,4,216100,37,0.25,10,0.76,30,8235,3,267,38723,7,232566,37,24,0.63,37,1.00
C84019,14067,16182,5,1248,47913,2,81761,42,0.22,10,0.55,24,16182,5,492,44615,3,111070,42,17,0.40,37,0.91
C84020,5683,11661,4,490,53730,3,129483,42,0.32,14,0.90,37,11661,4,270,40580,6,240591,42,26,0.64,41,0.99
C84021,12334,11096,4,3347,577881,1,577953,44,0.01,0.65,0.06,3,11096,4,502,24411,2,50980,44,15,0.38,35,0.89
C84023,38125,16683,5,372,355140,3,1019231,42,0.43,18,0.98,41,16683,5,287,318106,6,1076915,42,25,0.58,42,1.00
C84024,30092,14264,5,1352,48304,1,53605,46,0.12,9,0.37,22,14264,5,414,36069,4,112306,46,23,0.46,42,0.92
C84025,6748,27339,9,2738,68592,1,71507,42,0.06,2,0.15,6,27339,9,473,26841,1,48388,42,20,0.45,38,0.88
C84026,12006,19677,6,942,333612,1,433297,32,0.10,4,0.52,18,19677,6,315,122967,4,413406,32,17,0.49,32,1.00
C84028,6713,25216,8,758,607597,1,610473,39,0.12,5,0.53,22,25216,8,257,66414,5,524671,39,27,0.66,38,0.93
C84029,17916,14154,5,1067,53935,3,98211,42,0.28,13,0.64,29,14154,5,437,45001,4,126700,42,20,0.46,39,0.94
C84030,8216,20641,7,736,175778,1,462706,37,0.17,6,0.65,25,20641,7,318,43224,4,504700,37,16,0.49,37,1.00
C84031,2648,10903,4,501,64223,3,136197,40,0.31,13,0.90,36,10903,4,270,44834,6,247002,40,26,0.65,40,0.99
C84032,8374,17046,6,703,47446,2,64793,33,0.25,9,0.72,24,17046,6,359,35729,4,120123,33,17,0.53,31,0.95
C84033,7639,18952,6,766,627609,1,872807,32,0.18,7,0.64,21,18952,6,358,187433,4,786527,32,15,0.44,32,0.99
C84034,10008,6911,3,470,76300,3,173375,33,0.31,10,0.92,31,6911,3,234,71032,7,389421,33,25,0.74,33,1.00
C84035,11937,15606,5,2009,61720,1,75256,46,0.12,6,0.39,17,15606,5,483,26365,3,101350,46,21,0.44,40,0.87
C84036,13485,11586,4,557,62042,3,129623,40,0.28,11,0.83,33,11586,4,271,40448,6,232676,40,26,0.64,40,0.99
C84037,11705,21196,7,2651,118909,1,121442,38,0.03,1,0.11,4,21196,7,1330,23523,1,35974,38,5,0.10,17,0.43
C84039,9660,15803,5,370,220795,4,609695,49,0.45,20,0.97,48,15803,5,284,190991,6,683920,49,26,0.60,49,1.00
C84042,7339,17758,6,911,136144,1,178256,32,0.07,2,0.53,16,17758,6,243,40735,5,257743,32,22,0.71,32,0.99
C84043,8465,5510,2,468,146143,2,352776,30,0.29,9,0.95,28,5510,2,252,73236,6,457741,30,19,0.66,30,1.00
C84044,7944,23375,8,450,973513,2,1431656,30,0.32,10,0.95,29,23375,8,308,625199,4,1489781,30,16,0.52,30,1.00
C84045,6852,19104,6,3146,22153,0.86,22166,42,0.02,0.79,0.06,3,19104,6,492,17275,2,35409,42,18,0.37,34,0.71
C84046,8211,6563,2,559,37513,3,54182,30,0.27,9,0.81,24,6563,2,340,28404,5,111731,30,15,0.47,30,1.00
C84047,9324,21714,7,1017,167124,1,167994,34,0.11,3,0.51,15,21714,7,446,40274,2,94620,34,12,0.38,31,0.92
C84048,10792,26647,9,3200,652173,0.96,652309,37,0.04,2,0.05,3,26647,9,703,22862,1,37817,37,9,0.22,29,0.82
C84049,12063,27673,9,6321,587836,1,587855,50,0.00,0.02,0.00,0.19,27673,9,915,28535,1,38639,50,7,0.17,32,0.69
C84051,17943,13959,5,469,56453,3,135391,40,0.33,13,0.91,37,13959,5,273,46945,6,256694,40,25,0.64,40,0.99
C84052,5896,20511,7,4902,13966,1,13978,67,0.00,0.06,0.00,0.29,20511,7,961,23265,1,23479,67,11,0.13,38,0.57
C84053,14535,14489,5,638,65943,2,176960,39,0.22,10,0.83,33,14489,5,265,48256,5,272410,39,26,0.63,39,0.99
C84055,12584,19256,6,919,339463,2,458687,33,0.13,5,0.54,19,19256,6,310,127083,5,445429,33,18,0.52,32,1.00
C84057,3067,9040,3,576,535105,1,547095,66,0.25,17,0.80,53,9040,3,278,68593,4,483424,66,49,0.72,60,0.92
C84059,9492,13262,5,409,242096,2,546419,42,0.36,16,0.95,40,13262,5,279,163083,4,591782,42,25,0.61,42,1.00
C84060,8763,7685,3,535,46511,3,62193,29,0.30,9,0.81,24,7685,3,322,25454,5,109977,29,15,0.49,29,1.00
C84061,5011,10223,4,583,432681,2,520800,33,0.29,10,0.80,27,10223,4,277,158792,5,593428,33,21,0.66,33,0.99
C84063,6688,7577,3,538,207522,3,394680,34,0.24,9,0.86,30,7577,3,325,55456,6,418438,34,15,0.42,33,1.00
C84064,6828,5711,2,474,164743,2,340486,30,0.29,9,0.93,28,5711,2,254,80784,6,449460,30,20,0.66,30,1.00
C84065,5099,18004,6,582,507100,2,1196706,31,0.27,8,0.81,24,18004,6,279,109102,4,1241261,31,16,0.58,31,1.00
C84066,9302,14241,5,583,299490,3,715479,33,0.35,12,0.80,27,14241,5,264,118286,7,790472,33,22,0.63,33,1.00
C84067,5914,14521,5,1097,79770,1,97931,44,0.12,5,0.44,19,14521,5,338,21302,4,112987,44,24,0.54,41,0.95
C84069,13496,13412,5,457,40268,3,115306,40,0.33,14,0.93,38,13412,5,271,39806,6,235781,40,25,0.63,40,0.99
C84072,8744,3630,2,632,41098,4,78865,37,0.18,6,0.77,29,3630,2,250,25861,8,217479,37,25,0.69,37,1.00
C84074,3603,10761,4,717,91234,1,131277,39,0.25,10,0.71,28,10761,4,329,34010,5,170595,39,23,0.57,38,0.97
C84076,3821,10859,4,684,80755,2,117508,40,0.26,11,0.73,29,10859,4,314,34163,5,161669,40,24,0.58,39,0.98
C84077,8547,12307,4,610,877577,1,921961,35,0.24,8,0.79,28,12307,4,333,201153,4,925020,35,18,0.53,34,0.97
C84078,12606,8569,3,576,153364,2,285725,29,0.20,6,0.87,25,8569,3,319,96938,7,501365,29,15,0.51,29,1.00
C84080,10985,21238,7,848,110783,1,261250,37,0.10,4,0.54,22,21238,7,322,34286,3,305963,37,15,0.49,37,1.00
C84081,6342,6843,3,513,39725,3,56545,30,0.31,10,0.84,25,6843,3,321,25648,5,112143,30,16,0.50,30,1.00
C84084,8318,28094,9,1050,374902,1,499821,39,0.05,2,0.58,24,28094,9,390,34165,2,458083,39,18,0.47,37,0.92
C84085,7537,14053,5,605,133480,3,183465,41,0.25,10,0.77,34,14053,5,319,58787,6,284522,41,21,0.50,41,1.00
C84086,9868,28196,9,786,109133,2,243246,31,0.25,9,0.68,21,28196,9,368,52517,4,296879,31,15,0.47,30,0.98
C84087,5999,12711,5,698,25880,1,36546,36,0.24,7,0.74,27,12711,5,419,17353,2,54412,36,13,0.38,35,0.96
C84090,8852,28546,9,937,116860,2,164161,33,0.14,6,0.55,18,28546,9,405,35033,4,188019,33,14,0.42,31,0.95
C84091,7034,4436,2,636,371410,1,439217,27,0.18,5,0.77,20,4436,2,298,172244,4,548591,27,14,0.54,27,1.00
C84092,4692,6885,3,331,35052,4,124619,49,0.54,22,0.98,48,6885,3,242,66163,7,349699,49,30,0.76,49,1.00
C84094,9172,14612,5,2261,65123,1,81830,46,0.13,7,0.41,18,14612,5,477,26864,3,103484,46,21,0.46,39,0.87
C84095,7178,13975,5,619,85040,2,227204,41,0.22,11,0.83,34,13975,5,254,52237,5,333114,41,28,0.65,40,1.00
C84096,3467,9546,3,427,189739,4,410040,38,0.39,16,0.92,35,9546,3,268,146621,7,580241,38,24,0.64,38,1.00
C84101,2664,19986,7,2531,9253,1,11146,70,0.07,4,0.21,12,19986,7,841,21042,2,33524,70,22,0.34,36,0.55
C84103,5250,4832,2,408,62779,4,147241,33,0.38,13,0.95,32,4832,2,271,76835,8,384297,33,20,0.60,33,1.00
C84104,2077,4943,2,403,57616,4,133325,34,0.40,14,0.96,33,4943,2,267,77384,8,367809,34,21,0.61,34,1.00
C84105,6739,5342,2,414,78671,4,169845,34,0.38,13,0.95,32,5342,2,272,84999,8,398594,34,21,0.61,34,1.00
C84106,8079,13263,5,491,52454,3,126821,40,0.28,11,0.91,37,13263,5,275,47173,6,256571,40,24,0.62,40,1.00
C84107,10745,19976,7,717,517774,1,672061,32,0.18,6,0.70,22,19976,7,270,360406,5,735094,32,20,0.65,32,1.00
C84112,3179,25539,8,584,459520,1,537500,32,0.21,7,0.84,26,25539,8,295,134406,4,597717,32,17,0.56,32,1.00
C84113,6407,17106,6,1557,368043,1,382482,46,0.12,6,0.55,23,17106,6,423,78758,3,208874,46,20,0.46,40,0.92
C84114,4656,9936,3,631,803068,1,930198,31,0.19,6,0.80,24,9936,3,264,191631,4,923735,31,20,0.66,30,0.99
C84115,5840,25257,8,751,569573,2,644846,32,0.16,6,0.65,21,25257,8,440,305377,4,598783,32,13,0.37,30,0.94
C84116,7612,7086,3,543,205594,2,307371,28,0.22,7,0.86,24,7086,3,280,155004,5,487140,28,17,0.58,28,1.00
C84117,16405,8189,3,318,58633,5,145751,48,0.56,25,0.98,47,8189,3,245,61516,8,357518,48,31,0.70,48,1.00
C84120,13873,25436,8,785,91470,1,128282,37,0.22,11,0.56,22,25436,8,299,64033,3,195784,37,22,0.56,37,1.00
C84122,7205,18010,6,409,1116569,2,1726360,32,0.43,13,0.94,30,18010,6,297,1004385,4,1735448,32,17,0.57,32,1.00
C84123,2952,12884,5,3740,591242,1,592079,54,0.03,2,0.07,4,12884,5,666,52402,1,58294,54,17,0.31,42,0.82
C84124,11634,14006,5,627,46497,2,136535,40,0.21,10,0.84,34,14006,5,265,42195,5,235705,40,26,0.62,39,1.00
C84125,3455,28726,9,1744,333558,1,351275,48,0.05,2,0.14,5,28726,9,542,124832,1,170344,48,16,0.35,39,0.82
C84127,4134,8428,3,1909,27360,1,36935,35,0.05,2,0.11,4,8428,3,351,38775,3,150364,35,19,0.53,34,0.97
C84129,6725,14635,5,582,1486437,2,1807027,30,0.17,6,0.88,26,14635,5,330,613989,5,1877035,30,14,0.44,30,1.00
C84131,6635,18573,6,668,59337,1,72483,33,0.24,8,0.70,23,18573,6,378,38169,4,112787,33,17,0.52,32,0.95
C84133,4880,14167,5,907,245130,1,289421,30,0.07,2,0.49,16,14167,5,319,45703,5,239730,30,14,0.47,30,1.00
C84135,4508,7630,3,428,712496,3,1577283,32,0.41,14,0.95,30,7630,3,214,238395,9,1741425,32,25,0.78,32,1.00
C84136,3231,7194,3,373,97817,5,329344,41,0.43,19,0.96,40,7194,3,242,84607,8,514140,41,29,0.72,41,1.00
C84138,2652,4565,2,497,202299,2,429566,31,0.26,9,0.92,28,4565,2,269,83838,6,540500,31,18,0.60,31,1.00
C84140,5364,10636,4,707,78803,1,114645,39,0.24,10,0.70,27,10636,4,327,31410,5,157641,39,23,0.56,38,0.98
C84142,4899,15973,5,1956,27878,1,29231,34,0.02,0.80,0.05,2,15973,5,428,14778,2,34836,34,10,0.29,33,0.98
C84143,5696,15554,5,2004,62700,1,74823,46,0.12,6,0.39,17,15554,5,488,27063,3,99717,46,20,0.43,39,0.86
C84144,3576,6010,2,319,21211,4,100991,52,0.56,24,0.98,51,6010,2,240,60031,7,339941,52,32,0.77,52,1.00
C84145,1116,6724,3,621,579914,2,1217719,33,0.14,5,0.84,28,6724,3,259,181942,7,1360111,33,22,0.64,33,1.00
C84150,3860,21519,7,901,735245,1,805683,30,0.10,4,0.48,15,21519,7,451,201822,3,588048,30,10,0.31,29,0.98
C84151,2003,6402,2,502,76743,3,140171,37,0.24,9,0.94,35,6402,2,278,53533,7,311494,37,22,0.60,37,1.00
C84602,2283,10021,4,585,113105,3,174849,40,0.19,7,0.87,35,10021,4,302,85599,6,365851,40,22,0.55,40,1.00
C84605,17853,27432,9,834,101896,2,197918,33,0.21,8,0.62,20,27432,9,381,44339,4,252823,33,15,0.46,31,0.96
C84612,3696,15794,5,1062,559970,1,628276,30,0.05,2,0.30,10,15794,5,337,61680,4,344412,30,14,0.46,30,1.00
C84613,2272,25663,8,2023,293611,1,296147,47,0.05,2,0.12,6,25663,8,522,140359,1,167197,47,20,0.44,39,0.83
C84619,5906,9587,3,468,216378,3,542299,31,0.36,12,0.92,29,9587,3,255,98963,8,700941,31,22,0.70,31,1.00
C84621,4125,26812,9,716,101029,2,229041,33,0.27,11,0.72,24,26812,9,342,50684,5,316261,33,17,0.51,32,0.98
C84624,5225,19778,6,791,83795,1,99762,33,0.16,5,0.57,18,19778,6,321,42882,4,119974,33,17,0.56,31,0.96
C84628,5190,7191,3,528,32955,3,80185,36,0.18,7,0.95,34,7191,3,339,77087,6,301617,36,16,0.45,36,1.00
C84629,4130,9490,3,688,87804,1,125315,38,0.25,10,0.73,27,9490,3,323,32791,5,167822,38,23,0.58,37,0.98
C84633,2325,13994,5,420,263955,4,522406,45,0.40,19,0.94,43,13994,5,286,190218,6,627681,45,26,0.60,45,1.00
C84635,2657,18484,6,507,682530,2,1086274,32,0.30,10,0.89,28,18484,6,296,405065,5,1140602,32,18,0.57,32,0.99
C84637,6020,10293,4,480,55357,3,159928,38,0.36,14,0.88,33,10293,4,258,44660,7,292076,38,26,0.68,38,0.99
C84646,3873,27471,9,1820,317676,1,339177,47,0.06,2,0.15,6,27471,9,518,123056,2,181194,47,18,0.39,39,0.84
C84647,1466,5147,2,870,567360,1,703198,31,0.11,3,0.50,15,5147,2,302,116027,4,483096,31,17,0.57,31,1.00
C84648,5297,20518,7,2164,24781,1,31373,41,0.04,2,0.12,5,20518,7,832,58122,2,77291,41,7,0.18,24,0.69
C84650,1711,9121,3,502,157386,3,281432,33,0.25,8,0.88,28,9121,3,266,130120,6,445873,33,21,0.66,32,1.00
C84654,3940,16619,5,1777,105639,1,109147,30,0.03,1.00,0.08,3,16619,5,280,20470,3,69069,30,18,0.62,30,0.99
C84656,2957,13513,5,782,57532,1,83754,37,0.25,8,0.77,28,13513,5,433,24656,2,88348,37,14,0.40,35,0.96
C84658,6102,7408,3,2491,26396,1,28570,33,0.01,0.42,0.03,0.91,7408,3,387,35384,3,112100,33,16,0.48,32,0.96
C84660,3881,20327,7,7947,88015,1,88039,54,0.00,0.00,0.00,0.01,20327,7,1504,12691,1,12776,54,7,0.17,23,0.54
C84664,3494,13188,5,573,123171,2,183316,37,0.17,6,0.90,34,13188,5,454,96088,5,314018,37,11,0.32,36,0.98
C84667,4194,20775,7,842,85535,1,106266,34,0.14,4,0.53,17,20775,7,414,38548,3,122499,34,15,0.46,32,0.94
C84672,4166,5971,2,470,139045,4,383996,36,0.29,13,0.91,34,5971,2,326,39899,7,419791,36,16,0.40,36,1.00
C84676,2568,5283,2,418,81955,4,167364,34,0.38,13,0.95,32,5283,2,270,85995,8,393632,34,20,0.60,34,1.00
C84678,4874,24476,8,4139,351907,1.00,351907,57,0.03,1,0.12,5,24476,8,679,44546,2,94132,57,19,0.35,43,0.81
C84679,2727,9076,3,512,56238,3,120199,42,0.31,13,0.89,37,9076,3,273,36490,6,225126,42,26,0.63,41,0.99
C84680,2908,2404,1,459,453900,1,481632,29,0.36,10,0.89,26,2404,1,247,230057,4,566793,29,19,0.67,29,1.00
C84682,4171,12216,4,557,94747,2,153436,38,0.18,7,0.91,35,12216,4,397,81239,5,335236,38,14,0.38,37,0.99
C84683,7484,6255,2,445,126900,5,325954,45,0.40,21,0.89,42,6255,2,273,44176,8,367295,45,28,0.59,45,1.00
C84688,9356,10574,4,754,497018,1,606887,32,0.19,6,0.60,18,10574,4,296,147549,4,455808,32,18,0.58,31,0.99
C84691,9567,4809,2,382,30677,4,113969,34,0.41,14,0.97,33,4809,2,269,62755,8,372644,34,20,0.60,34,1.00
C84692,2768,18440,6,5871,23247,1,23346,74,0.00,0.03,0.00,0.09,18440,6,741,14623,1,15841,74,26,0.31,52,0.65
C84693,5041,14897,5,782,522082,2,621866,27,0.11,3,0.64,17,14897,5,353,124642,5,536419,27,11,0.37,27,1.00
C84694,3472,6589,2,428,264966,2,412884,28,0.39,11,0.93,26,6589,2,256,193977,5,553098,28,19,0.66,28,1.00
C84695,3065,5738,2,545,214288,3,675798,29,0.26,8,0.89,26,5738,2,273,110787,9,888082,29,18,0.62,29,1.00
C84696,4973,21841,7,951,701990,1,780180,29,0.06,2,0.42,13,21841,7,440,155045,3,537465,29,9,0.29,28,0.99
C84698,4062,2855,1,538,460440,1,499913,28,0.28,8,0.84,23,2855,1,249,190857,4,559374,28,19,0.68,28,1.00
C84700,1846,9680,3,4304,3246,1,5212,46,0.01,0.62,0.04,2,9680,3,440,45992,2,89967,46,19,0.43,40,0.90
C84703,5130,28425,9,1609,347412,1,435105,34,0.05,2,0.16,5,28425,9,434,40335,2,181163,34,10,0.33,33,0.98
C84704,3846,6544,2,779,462929,2,830157,32,0.11,3,0.62,20,6544,2,358,121601,4,700532,32,14,0.45,32,1.00
C84705,4573,16252,6,720,191074,1,271730,33,0.13,4,0.71,23,16252,6,237,62607,5,367203,33,24,0.75,33,1.00
C84706,2260,4599,2,604,77523,4,135218,37,0.20,7,0.81,31,4599,2,259,37235,8,268376,37,24,0.66,37,1.00
C84709,7347,17823,6,899,566659,1,740822,32,0.12,5,0.48,16,17823,6,347,117774,4,578024,32,14,0.45,32,0.99
C84710,2785,7829,3,518,147722,2,166775,47,0.28,12,0.89,39,7829,3,246,30194,5,218800,47,32,0.69,46,0.99
C84712,3303,8501,3,562,385641,2,488953,35,0.31,11,0.82,29,8501,3,282,153728,5,573580,35,22,0.64,34,0.99
C84714,6697,12740,5,388,48585,4,152573,42,0.39,18,0.98,41,12740,5,264,41247,7,286779,42,26,0.63,42,1.00
C84717,2917,4809,2,487,134851,2,299704,31,0.27,9,0.93,29,4809,2,255,69356,6,413701,31,20,0.65,31,1.00
C84718,4305,10523,4,653,708030,1,828585,32,0.19,6,0.78,24,10523,4,263,162070,4,832562,32,21,0.67,31,0.99
C84720,33,6936,3,508,201390,3,257379,37,0.20,8,0.92,34,6936,3,319,47273,7,382245,37,19,0.53,37,1.00
C85001,4317,6135,2,389,132978,3,426497,39,0.39,15,0.96,37,6135,2,258,69064,7,499095,39,25,0.65,39,0.99
C85003,10908,6959,2,455,354685,2,694092,44,0.40,17,0.88,39,6959,2,283,161184,5,713452,44,26,0.61,44,1.00
C85004,16544,23835,8,3493,63193,1,63434,54,0.01,0.29,0.04,2,23835,8,352,22097,3,63506,54,28,0.55,51,0.94
C85005,8055,9964,3,528,177836,2,416827,42,0.43,18,0.81,34,9964,3,214,97987,5,449002,42,33,0.81,42,1.00
C85006,4901,11290,4,552,202660,3,365153,52,0.37,21,0.84,44,11290,4,263,92637,6,406364,52,35,0.67,51,0.99
C85007,11270,7190,3,411,270108,3,721913,49,0.40,20,0.94,46,7190,3,244,159363,6,785083,49,34,0.70,49,1.00
C85008,13277,11555,4,713,73746,2,111448,46,0.18,9,0.67,31,11555,4,317,44672,4,156424,46,24,0.51,45,0.99
C85009,6299,5871,2,413,261134,3,722768,51,0.41,22,0.94,48,5871,2,260,170521,6,784405,51,34,0.66,51,1.00
C85010,11469,17306,6,579,82523,2,135397,42,0.30,12,0.85,35,17306,6,299,30473,4,162586,42,25,0.59,42,0.99
C85012,2133,7416,3,991,105634,2,187367,40,0.14,6,0.33,13,7416,3,221,49318,4,185480,40,33,0.80,40,1.00
C85013,9637,9529,3,476,36010,2,56835,45,0.34,16,0.90,41,9529,3,237,31257,6,152164,45,31,0.72,44,1.00
C85014,8775,8687,3,734,263569,1,296501,44,0.22,10,0.67,30,8687,3,277,81210,4,295189,44,28,0.65,44,1.00
C85015,4405,7099,3,1197,619429,1,633584,48,0.09,4,0.28,13,7099,3,398,122601,3,353051,48,20,0.43,48,0.98
C85016,12094,8903,3,425,35975,2,71604,47,0.35,16,0.94,45,8903,3,237,42866,7,207641,47,34,0.75,46,0.99
C85017,8173,7672,3,794,300619,2,476370,48,0.27,15,0.62,33,7672,3,304,103127,5,413654,48,28,0.57,48,0.99
C85018,6422,6297,2,600,79640,1,119974,53,0.37,22,0.77,43,6297,2,261,36860,4,148475,53,37,0.69,53,1.00
C85019,4737,9959,4,469,147076,3,353778,51,0.38,21,0.90,47,9959,4,251,86857,6,420502,51,35,0.68,51,1.00
C85020,12956,15354,5,705,204539,2,355237,49,0.26,14,0.76,38,15354,5,292,100028,5,390444,49,29,0.58,49,0.99
C85022,11326,11663,4,705,101850,2,233767,47,0.23,12,0.67,32,11663,4,298,61511,4,277710,47,28,0.56,47,0.99
C85023,8811,5457,2,404,94499,4,454161,40,0.49,20,0.89,36,5457,2,217,55884,7,522915,40,31,0.77,40,1.00
C85024,5757,10567,4,648,203047,2,357862,43,0.27,12,0.76,32,10567,4,241,75928,5,372277,43,31,0.73,42,1.00
C85026,6148,17550,6,826,58093,2,94517,46,0.26,11,0.75,34,17550,6,273,37917,5,163002,46,28,0.63,45,0.98
C85028,5133,7996,3,737,531378,1,571984,45,0.20,9,0.68,30,7996,3,283,158273,4,571689,45,27,0.62,45,1.00
C85030,9724,9745,3,460,39817,2,59428,44,0.37,17,0.91,41,9745,3,236,29679,6,144739,44,31,0.73,44,1.00
C85033,9886,14172,5,478,125065,3,303387,52,0.33,19,0.92,48,14172,5,259,85409,6,387282,52,33,0.63,52,1.00
C85614,2840,17896,6,579,109277,2,188028,43,0.38,16,0.82,35,17896,6,272,45116,4,216184,43,29,0.67,42,0.99
C85617,3413,6947,3,363,105748,3,368483,38,0.43,16,0.97,37,6947,3,248,60765,7,442932,38,25,0.68,38,0.99
C85619,6418,10237,4,962,267748,2,310703,42,0.17,7,0.49,22,10237,4,328,52573,3,192448,42,22,0.53,42,0.99
C85622,2012,10854,4,853,636573,1,650195,47,0.15,6,0.57,26,10854,4,292,183017,4,590701,47,29,0.61,47,1.00
C85623,3445,23740,8,3544,48697,1,53838,57,0.02,1,0.08,4,23740,8,348,25255,3,78432,57,31,0.56,55,0.95
C85624,3081,7626,3,488,267721,3,623838,49,0.35,18,0.89,44,7626,3,253,147265,6,679886,49,33,0.67,49,1.00
C85628,1074,7164,3,755,152695,1,190101,47,0.24,13,0.66,33,7164,3,275,53587,4,187660,47,30,0.66,47,1.00
C86001,10690,7861,3,2900,275522,1,278756,32,0.03,1,0.05,2,7861,3,300,47554,4,148005,32,20,0.66,31,0.97
C86002,6138,7624,3,1653,98132,1,111285,35,0.16,6,0.39,14,7624,3,324,42251,4,152592,35,21,0.59,33,0.95
C86003,9513,11617,4,1369,196388,1,196947,34,0.09,3,0.27,8,11617,4,306,54409,3,160792,34,18,0.55,34,0.99
C86005,5896,6528,3,315,38184,5,134540,35,0.53,18,0.98,34,6528,3,221,29971,8,220740,35,27,0.79,35,1.00
C86006,9624,12172,4,1040,208185,1,234768,44,0.15,7,0.57,27,12172,4,452,67875,3,176542,44,17,0.39,40,0.91
C86007,10202,15154,5,1497,427019,1,443358,41,0.09,4,0.34,15,15154,5,517,78099,2,184670,41,14,0.34,34,0.85
C86009,8224,22058,7,3287,71364,1,71374,70,0.03,2,0.07,5,22058,7,883,25669,2,44362,70,19,0.29,34,0.54
C86011,12669,15739,5,1376,249804,1,269844,41,0.09,5,0.41,18,15739,5,567,60376,2,138917,41,12,0.30,33,0.80
C86012,5275,16985,6,1928,683903,1,687640,39,0.02,0.52,0.07,2,16985,6,569,82707,2,190578,39,10,0.28,31,0.82
C86013,9234,16497,5,4586,10311,1,10412,41,0.01,0.26,0.02,0.87,16497,5,425,34222,2,68486,41,18,0.48,37,0.92
C86014,6404,6377,2,2855,91222,1,92561,33,0.01,0.48,0.04,2,6377,2,389,36704,4,110444,33,16,0.49,30,0.92
C86015,7899,10246,4,1083,23385,1,23820,35,0.06,3,0.43,16,10246,4,518,20965,2,45675,35,8,0.23,32,0.91
C86016,7469,10190,4,1010,251251,1,337118,51,0.36,17,0.55,27,10190,4,464,102589,3,280550,51,31,0.62,45,0.87
C86017,9838,12967,4,847,154804,1,188533,41,0.14,6,0.61,26,12967,4,445,57525,3,172367,41,15,0.37,38,0.93
C86018,10584,7897,3,1108,27225,1,35885,42,0.15,7,0.61,26,7897,3,442,45854,3,101425,42,17,0.42,39,0.93
C86019,13477,12375,4,1068,62636,1,66044,40,0.11,4,0.41,15,12375,4,296,40448,4,165098,40,23,0.60,39,0.99
C86020,9213,8532,3,1045,65956,1,70196,40,0.13,5,0.47,19,8532,3,307,45474,4,176008,40,22,0.58,39,0.98
C86021,6408,13965,5,623,433463,2,704423,31,0.23,7,0.84,24,13965,5,320,232703,5,739957,31,15,0.52,30,0.98
C86022,9226,10509,4,697,162920,1,214221,35,0.18,7,0.75,26,10509,4,385,75061,3,252113,35,15,0.41,34,0.97
C86023,7176,7274,3,775,83694,1,101834,34,0.27,10,0.63,21,7274,3,257,43495,5,172527,34,23,0.66,34,0.99
